ID_Institution,ID_KG,picNumber,vatNumber,name,shortName,activityType,street,postCode,city,country,geolocation,organizationURL
,6202,998291506,CHE116041896,ZURCHER HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN,ZHAW,HES,GERTRUDSTRASSE 15,8401,WINTERTHUR,CH,"47.4998608,8.7203294306134",www.zhaw.ch
,4260,999678800,NL815880571B01,ZF-SCREENS BV,ZF-S,PRC,J H OORTWEG 19,2333 CH,LEIDEN,NL,"52.168663,4.4650113",www.zfscreens.com
,7134,,,Z F Lemforder UK Ltd,,PRC,Abbeyfield Road,NG7 2SX,Nottingham,GB   ,,www.zf.com/unitedkingdom/en_gb/corporate/homepage_corporate/homepage_corporate.html
,4604,996315422,,ZERO EMISSION RESOURCE ORGANISATION,ZERO,OTH,MARIDALSVEIEN 10,0178,Oslo,NO,,www.zero.no
,2508,993127905,,ZLT Zeppelin Luftschifftechnik GmbH & Co KG,ZLT,PRC,Allmannsweilerstrasse 132,88046,FRIEDRICHSHAFEN,DE,,www.zeppelin-nt.de
,1995,985540274,,Deutsche Zeppelin-Reederei GmbH,DZR,PRC,Allmannsweiler Strasse 132,88046,Friedrichshafen,DE,,www.zeppelinflug.de
,2735,,,Zenon SA Robotics and Informatics,,,"5 Kanari Street, Glyka Nera",,ATHENS,GR   ,,www.zenon.gr
,2507,999433584,,ZENERGY POWER GMBH,TRITHOR,PRC,Heisenbergstrasse 16,53359,RHEINBACH,DE,,www.zenergypower.com
,3950,,,Dutch Oyster Association,,OTH,,,,NL   ,,www.zeeuwseoesters.nl/intro-uk.html
,4141,,,Province of Zeeland,,PUB,Abdij 6,4331 BK,Middelburg,NL   ,,www.zeeland.nl
,648,,,Koprivnica-Krizevci County; Public Institution for the Management of Protected Natural Values,AGNATURE,PUB,Florijanski square 4,48000,Koprivnica,HR   ,,www.zastita-prirode-kckzz.hr/
,5845,996410094,ESA31419773,"ZABALA INNOVATION CONSULTING, S.A.",ZABALA,PRC,PASEO SANTXIKI 3 BIS,31192,MUTILVA ALTA NAVARRA,ES,"42.80054605,-1.62187033822567",www.zabala.es
,4085,,,Municipality of Zaanstad,,PUB,Stadhuisplein 100,1506 MZ,Zaandam,NL   ,,www.zaanstad.nl
,6347,997711931,,SOUTHERN SCIENTIFIC RESEARCH INSTITUTE OF MARINE FISHERIES AND OCEANOGRAPHY,YugNIRO,REC,SVERDLOV STREET 2,98300,KERCH,UA,,www.yugniro.in.ua
,3679,996151589,,YARMOUK UNIVERSITY,YU,HES,Al Defa Al-Madani Street,21163,IRBID,JO,"32.5556091,35.8493023",www.yu.edu.jo
,2506,996266340,,YTRON Process Technology GmbH & Co. KG,YTRON,PRC,Am Anger 25,83233,Bernau,DE,,www.ytron.com
,2644,974262472,,YPIRESIA DIACHEIRISIS EUROPAIKON KAI ANAPTYXIAKON PROGRAMMATON (Y.D.E.A.P.),Y.D.E.A.P.,PUB,P.Kanellopoulou St. 4,101 77,Athens,EL,"37.9715141,23.726649846307154",www.yptp.gr/main.php?lang=EN
,7095,999978336,GB647205541,UNIVERSITY OF YORK,UNIVERSITY OF YORK,HES,HESLINGTON,YO10 5DD,YORK NORTH YORKSHIRE,UK,"53.9443862,-1.0466265",www.york.ac.uk
,5925,999423011,,"YKI, YTKEMISKA INSTITUTET AB",YKI,REC,Drottning Kristinas Vaeg 45,11486,STOCKHOLM,SE,,www.yki.se
,612,998241745,,YANTIAN INTERNATIONAL CONTAINER TERMINALS LIMITED,YICT,PRC,"Yantian Port, Sha Tou Jiao .",518081,SHENZHEN,CN,,www.yict.com.cn
,2600,,,Hellenic Ministry of Merchant Marine,,PUB,,,PIRAEUS,GR   ,,www.yen.gr
,4751,953620484,,YANKO SP ZOO,Yanko,PRC,UL TOROWA 9,35205,RZESZOW,PL,,www.yanko.com.pl
,2505,,,Yachtglass GmbH & Co. KG.,,PRC,Industriestraße 1,26906,Dersum,DE   ,,www.yachtglass.de
,5841,,,Xunta de Galicia,,OTH,,,,ES   ,,www.xunta.gal
,732,984004376,CY10139718N,XPRO CONSULTING LIMITED,XPRO,PRC,NELSON STREET 7,2021,LEFKOSIA,CY,"35.180282,33.3736867774825",www.xpro-consulting.com
,4257,,,Xerox Manufacturing Nederland BV,,PRC,De Corridor 5,3621 ZA,Breukelen,NL   ,,www.xerox.nl
,7132,999667548,GB796250988,XENTION LTD,Xention,PRC,"Iconix Park, London Road, Pampisford",CB22 3EG,CAMBRIDGE,UK,"52.1772866,0.1362084640500501",www.xention.com/
,7129,,,World Wide Fund for Nature United Kingdom,WWF-UK,OTH,"Rufford House
Brewery Road ",GU21 4LL,,GB   ,,www.wwf.org.uk
,6323,,,World Wide Fund for Nature Turkiye,WWF TR,OTH,"Büyük Postane Cad. Garanti Han,",34420 ,Bahçekapı,TR   ,,www.wwf.org.tr/
,151,999616138,ATU37694107,WIRTSCHAFTSUNIVERSITAT WIEN,WU,HES,WELTHANDELSPLATZ 1,1020,WIEN,AT,"48.2143329,16.4056319",www.wu-wien.ac.at
,4019,,,Institute of Food Safety,RIKILT,REC,Bornsesteeg 45,NL-6700 AE,Wageningen,NL   ,,www.wur.nl/en/Expertise-Services/Research-Institutes/rikilt.htm
,4017,,,Institute for Marine Resources and Ecosystem Studies,,REC,Haringkade 1,1976 CP,IJmuiden,NL   ,,www.wur.nl/en/Expertise-Services/Research-Institutes/marine-research.htm
,4244,,,Wageningen UR,WUR,HES,Droevendaalsesteeg 4,6708 PB,Wageningen,NL   ,,www.wur.nl
,2503,999929642,DE121091633,"WUPPERTAL INSTITUT FUR KLIMA, UMWELT, ENERGIE GGMBH",WI,REC,DOPPERSBERG 19,42103,WUPPERTAL,DE,"51.2553173,7.1525172",www.wupperinst.org
,7227,952516430,BE0893349907,WATER EUROPE,WS,OTH,BOULEVARD A. REYERS 80,1030,BRUXELLES,BE,"50.85118730000001,4.402094487601388",www.wsstp.eu
,1281,,,WSP Environmental Oy,,,Heikkiläntie 7,210, Helsinki,FI   ,,www.wsp-pb.com/fi/WSP-Finland/
,6171,999698782,CHE116133452TVA,EIDGENOESSISCHE FORSCHUNGSANSTALT WSL,WSL,REC,ZUERCHERSTRASSE 111,8903,BIRMENSDORF,CH,"47.3604361,8.454918975494948",www.wsl.ch
,4249,998071122,,Waterschap Hollandse Delta,WHD,PUB,Handelsweg 100,2988 DC,Ridderkerk,NL,,www.wshd.nl
,4256,953304070,NL803173015B01,WRS MARINE INSPECTIONS AND SERVICES BV,WRS MARINE,PRC,BOELEWERF 1 D E,2987 VD,RIDDERKERK,NL,"51.8987269,4.5819113",www.wrsmarine.com
,4635,,,City of Wroclaw,,PUB,,,,PL   ,,www.wroclaw.pl
,6583,,,Ever Crop Irrigation Ltd,,,CHRISTCHURCH ROAD,,,GB   ,,www.wrightrain.com
,2734,,,WOW Creative Projects,,,"5 Pasteur St,",,"MAROUSI, ATHENS",GR   ,,www.wow.gr
,414,,,World Ocean Network,WON,OTH,,,,BE   ,,www.worldoceannetwork.org/
,2191,,,Institute for Wood Technology Dresden,IHD,,Zellescher Weg 24,1217,Dresden,DE   ,,www.wood-modification.net
,2502,998755554,DE134165548,WOLFEL ENGINEERING GMBH + CO. KG,Woelfel,PRC,MAX PLANCK STRASSE 15,97204,HOCHBERG,DE,"49.7701774,9.8712259",www.woelfel.de
,6110,999898505,,WORLD MARITIME UNIVERSITY,WMU,HES,FISKHAMNSGATAN 1,211 18,MALMO,SE,"55.5361868,13.369715681029767",www.wmu.se
,731,972714449,CY10219453V,WLB LIMITED,WLB,PRC,ZINONOS SOZOU  (OFFICE 103) 11,1075,LEFKOSIA,CY,"35.180282,33.3736867774825",www.wlbltd.eu
,155,,,Wiener Lokalbahnen AG,WLB,,Purkytgasse 1B,1230,Wien,AT   ,,www.wlb.at
,2501,998920357,DE136684179,WITT INDUSTRIEELEKTRONIK GMBH,WITT,PRC,WESTSTRASSE 1,13405,BERLIN,DE,"52.4500507,13.5032657",www.witt-online.com
,1949,,,"Bundesland Bremen; Senator für Wirtschaft, Arbeit und Häfen",SWAH,,,28195 ,Bremen,DE   ,,www.wirtschaft.bremen.de/
,7126,998605786,,WIRE BELT COMPANY LIMITED,WIREBELT,PRC,CASTLE ROAD,ME10 3RF,SITTINGBOURNE,UK,,www.wirebelt.co.uk
,2498,998852651,DE130755736,WIRTSCHAFT UND INFRASTRUKTUR GMBH & CO PLANUNGS KG,WIP,PRC,SYLVENSTEINSTRASSE  2,81369,MUENCHEN,DE,"48.1130077,11.5384323",www.wip-munich.de
,1279,998486088,,Winwind Oy,W2,PRC,Keilaranta 13,02150,Espoo,FI,,www.winwind.fi
,2497,,,WINDTEST Kaiser-Wilhelm-Koog GmbH,,,Sommerdeich 14,25709,Kaiser-Wilhelm-Koog,DE   ,,www.windtest.de
,2081,,,Fraunhofer Institute for Wind Energy and Energy System Technology,IWES,,Am Seedeich 45,27572,Bremerhave,DE   ,,www.windenergie.iwes.fraunhofer.de
,4602,,,Wilson EuroCarriers AS,,PRC,Bradbenken 1,N-5835,BERGEN,NO   ,,www.wilsonship.no
,4601,996605452,,Wilhelmsen Marine Consultants,WMC,PRC,Strandveien 20,1366,Lysaker,NO,,www.wilhelmsen.com
,7123,,,Wildlife Trust,,OTH,"Mather Road,",NG24 1WT,Newark,GB   ,,www.wildlifetrusts.org/
,7121,996765502,GB843485311,WIKKI LIMITED,WIKKI LIMITED,PRC,"DOLBEN COURT, MONTAIGNE CLOSE 31",SW1P 4BB,LONDON,UK,"51.5073219,-0.1276474",www.wikki.co.uk
,6787,,,NHS Western Isles,,PUB,Macaulay Rd,HS1 2AF,Stornoway ,GB   ,,www.wihb.scot.nhs.uk/
,611,967516413,,WUHAN UNIVERSITY,WHU,HES,LUOJIA HILL,430072,WUHAN,CN,"28.404905,113.258381",www.whu.edu.cn
,7178,998794063,,WOODS HOLE OCEANOGRAPHIC INSTITUTION,WHOI,HES,WOODS HOLE ROAD 573,02543,WOODS HOLE,US,"41.5232814387755,-70.6609810612245",www.whoi.edu
,6199,999480144,,WORLD HEALTH ORGANIZATION,WHO,REC,Avenue Appia  20,1211,GENEVE,CH,"46.2327077,6.134280801089",www.who.int
,3660,998049782,,WORLD FOOD PROGRAMME,WFP,PUB,Via C.G. Viola 68,00148,Rome,IT,"41.85233365,12.6308541512038",www.wfo.org
,2495,,,WFB Bremen Economic Development GmbH,,,Langenstraße 2-4,28195 ,Bremen,DE   ,,www.wfb-bremen.de
,4204,990414039,NL810199579B01,STICHTING WETSUS CENTRE OF EXCELLENCE FOR SUSTAINABLE WATER TECHNOLOGY,Wetsus,REC,AGORA 1,8900 CC,LEEUWARDEN,NL,"53.1901235,5.7992936",www.wetsus.nl
,4253,,,Wetlands International,,OTH,P.O. Box 471,6700 AL,Wageningen,NL   ,,www.wetlands.org
,7094,,,University of Westminster,,HES,"Little Titchfield St, Fitzrovia, 4-12",W1W 7BY,London,GB   ,,www.westminster.ac.uk
,6109,953647159,,WESTMATIC I ARVIKA AKTIEBOLAG,Westmatic,PRC,PO BOX 958,671 29,ARVIKA,SE,,www.westmatic.se
,4599,953606904,,WESTCONTROL AS,Westcontrol,PRC,BREIVIKVEGEN 7,4120,TAU,NO,,www.westcontrol.com
,3052,,,WESTBIC,,,Rd. Wellpark 67,,Galway,IE   ,,www.westbic.ie
,4747,998807352,,Wesob Spolka z Ograniczona Odpowiedzialnoscia,WES,PRC,UL. KS LONDZINA 65,43 246,STRUMIEN,PL,,www.wesob.com.pl
,413,,,Waterwegen en Zeekanaal NV,WENZ,,Oostdijk 110,2830,Willebroek,BE   ,,www.wenz.be/en/
,3099,999979306,IL520016858,WEIZMANN INSTITUTE OF SCIENCE,WEIZMANN,HES,HERZL STREET 234,7610001,REHOVOT,IL,"31.8952532,34.8105616",www.weizmann.ac.il
,2204,,,IUS Weibel & Ness GmbH,,PRC,Bergheimer Str. 53-57,69115,Heidelberg,DE   ,,www.weibel-ness.de
,3970,998544676,GB672318140,FOUNDATION WEGEMT - A EUROPEAN ASSOCIATION OF UNIVERSITIES IN MARINE TECHNOLOGY AND RELATED SCIENCES,WEGEMT,OTH,MEKELWEG - FACULTEIT MT 2,2628 CD,DELFT,NL,"51.9994572,4.362724538544",www.wegemt.com
,2493,998807449,,Wecon GmbH Nutzfahrzeuge-Container-Technik,WEC,PRC,AN DER HANSALINIE 10,59387,ASCHEBERG,DE,,www.wecon.de
,7116,998686490,,Webster and Horsfall Limited,WEBSTER,PRC,Hay Mills,B25 8DW,BIRMINGHAM,UK,,www.websterandhorsfall.co.uk
,7055,,,University of Glamorgan,,HES,,,,GB   ,,www.webcitation.org/5QiptXTeQ?url=www.glam.ac.uk/
,5235,983972463,,South African Weather Service,SAWS,PUB,Private Bag X097,0001,PRETORIA,ZA,"-25.7459374,28.1879444",www.weathersa.co.za
,3993,,,Groot Salland Water Board,WGS,PRC,Postbus 60,8000 AB,Zwolle,NL   ,,www.wdodelta.nl
,7122,999672495,,WILDLIFE DNA SERVICES LIMITED*WDNAS,WDNAS,PRC,CREWE ROAD HERON HOUSE OAKS BU SINESS PARK WYTHENSHAWE,M23 9HZ,MANCHESTER,UK,,www.wdnas.com
,3053,953493414,,WESTERN DEVELOPMENT COMMISSION,WDC,PUB,Dillon House,,Ballaghaderreen,IE,,www.wdc.ie
,154,998348639,ATU62140604,WASSERKLUSTER LUNZ BIOLOGISCHE STATION GMBH,WCL,REC,DR CARL KUPELWIESER PROMENADE 5,3293,LUNZ AM SEE,AT,"47.851535850000005,15.042121552853184",www.wcl.ac.at
,999,,,WavePlane Production A/S,,,Tagesmindevej 1,DK-2820,GENTOFTE,DK   ,,www.waveplane.com
,3657,953094453,,WAVE FOR ENERGY SRL,W4E,PRC,CORSO FRANCIA 296,10146,TORINO,IT,,www.waveforenergy.com
,4598,,,Wave Energy AS,,PRC,Energiveien 16,,TANANGER,NO   ,,www.waveenergy.no
,996,999495567,,WAVE DRAGON APS,WD,PRC,Blegdamsvej 4,2200,COPENHAGEN N,DK,,www.wavedragon.net
,7113,998555637,,Wave Dragon Ltd,WD,PRC,"Third Floor, Essex Hall, Essex Street, 1-6",WC2R 3HY,London,UK,,www.wavedragon.co.uk
,4976,999543485,PT506358267,WAVEC/OFFSHORE RENEWABLES - CENTRO DE ENERGIA OFFSHORE ASSOCIACAO,WAVEC,REC,"EDIFICIO DIOGO CAO, DOCA DE ALCANTA NORTE",1350-352,LISBOA,PT,"38.6987465,-9.2244175",www.wavec.org
,3050,998001088,,Wavebob Ltd,WVB,PRC,H3 Maynooth Business Campus,,Maynooth,IE,,www.wavebob.com
,274,,,Flanders Hydraulics Research,,REC,Berchemlei 115,2140,Antwerp,BE   ,,www.watlab.be/en/flanders-hydraulics-research
,279,,,Flemish Authorities; Department of Mobility and Public Works,,,Berchemlei 115,B-2140,Antwerpen,BE   ,,www.watlab.be/
,4151,,,Regional Water Authority Waternet,,PRC,Korte Ouderkerkerdijk 7,1096 AC,Amsterdam,NL   ,,www.waternet.nl
,4248,997608141,NL814650582B01,WATER INSIGHT BV,WI,PRC,MARIJKEWEG 22,6709 PG,WAGENINGEN,NL,"51.9695238,5.652745",www.waterinsight.nl
,2266,951284433,,MAHLE INNOWA GMBH,Mahle InnoWa GmbH,PRC,PRAGSTRASSE 26-46,70376,STUTTGART,DE,,www.water.mahle-industry.com
,5496,992925951,ESG84912732,FUNDACION IMDEA AGUA,IMDEA  AGUA,REC,AVENIDA PUNTO COM  N2,28805,ALCALA DE HENARES MADRID,ES,"40.4818396,-3.3644972",www.water.imdea.org
,3656,958834428,,WARTSILA ITALIA SPA,WI,PRC,BAGNOLI DELLA ROSANDRA,34018,SAN DORLIGO DELLA VALLE,IT,,www.wartsila.com/en_IT/Home
,6197,998593661,CHE108762947MWST,WINTERTHUR GAS & DIESEL AG,WCH,PRC,SCHUTZENSTRASSE 1-3,8401,WINTERTHUR,CH,"47.4986056,8.72018",www.wartsila.com
,4242,986320154,NL800340280B01,WARTSILA NETHERLANDS BV,WAR NL,PRC,HANZELAAN 95,8017 JR,ZWOLLE,NL,"52.504764,6.0873474",www.wartsila.com
,1277,998907553,FI07737443,WARTSILA FINLAND OY,WAR FI,PRC,TARHAAJANTIE 2,65380,VAASA,FI,"63.05910235,21.7309900898314",www.wartsila.com
,4247,,,Wärtsilä Netherlands BV,,PRC,Havenstraat 21,3115 HC,Schiedam,NL   ,,www.wartsila.com
,7112,,,Warrington Borough Council,,OTH,Horsemarket Street26-30, WA1 2NH,Warrington,GB   ,,www.warrington.gov.uk
,4699,,,Office of the Marshal of the Warmińsko-Mazurskie Voivodeship,,PUB,ul. Emilii Plater 1,10-562,Olsztyn,PL   ,,www.warmia.mazury.pl/
,4246,996407766,,Walvisstaart BV,WALVIS,PRC,Scheepmakerij 150,3331 MA,Zwijndrecht,NL,,www.walvisstaart.nl
,2230,,,Landesforsten Rheinland-Pfalz,,,Kaiser-Friedrich-Str. 1,55116,Mainz,DE   ,,www.wald-rlp.de
,7111,,,Waitrose Ltd,,,171 Victoria Street,,,GB   ,,www.waitrose.com
,4273,966956432,NZ11612501,UNIVERSITY OF WAIKATO,UoW,HES,HILLCREST ROAD BLOCK B,2020,HAMILTON,NZ,"-37.7876214,175.2813186",www.waikato.ac.nz/
,4241,,,Wadden Sea Society,,OTH,Droogstraat 3,8861 SR,Harlingen,NL   ,,www.waddenvereniging.nl
,2491,954128473,,WADDEN SEA FORUM e.V.,WSF,OTH,VIRCHOWSTRASSE 1,26382,WILHELMSHAVEN,DE,,www.waddensea-forum.org
,2490,,,Wadan Yards MTW GmbH,,,Wendorfer Weg 5,,WISMAR,DE   ,,www.wadanyards.com
,4240,,,VU-VUmc Foundation,,REC,De Boelelaan 1131,1081 HV ,Amsterdam,NL   ,,www.vumc.com/patientcare/about/
,3655,996390500,,Vulkan-DMR S.r.l.,V-DMR,PRC,Via dell'Agricoltura 2,15067,Novi Ligure,IT,,www.vulkan-dmr.it
,411,999902094,BE0449012406,VRIJE UNIVERSITEIT BRUSSEL,VUB,HES,PLEINLAAN 2,1050,BRUSSEL,BE,"50.8232159,4.3920206",www.vub.ac.be
,3889,999989103,,VERENIGING VOOR CHRISTELIJK HOGER ONDERWIJS WETENSCHAPPELIJK ONDERZOEK EN PATIENTENZORG,VU,HES,De Boelelaan 1105,1081 HV,AMSTERDAM,NL,,www.vu.nl
,3787,999893170,LT119508113,VILNIAUS UNIVERSITETAS,Vilniaus universitetas,HES,UNIVERSITETO G. 3,01513,VILNIUS,LT,"54.682708,25.2866715",www.vu.lt
,50,993840079,,Victoria University,Victoria University,HES,cnr Mills Close and Ballarat Road,3011,Footscray,AU,"-37.78933525,144.8741282751567",www.vu.edu.au
,3653,966580460,,VESSEL TECHNICAL SERVICES (V.T.S.) SRL,VTS,PRC,PIAZZA GIOVANNI BOVIO 8,80100,NAPOLI,IT,,www.vtssrl.com
,6058,999599551,SE202100070401,STATENS VAG- OCH TRANSPORTFORSKNINGSINSTITUT,VTI,REC,OLAUS MAGNUS VAG 35,58195,LINKOEPING,SE,"58.4113704,15.6245048",www.vti.se
,2210,998427888,DE153809887,"JOHANN HEINRICH VON THUENEN-INSTITUT, BUNDESFORSCHUNGSINSTITUT FUER LAENDLICHE RAEUME, WALD UND FISCHEREI",THUENEN-INSTITUTE,REC,BUNDESALLEE  50,38116,BRAUNSCHWEIG,DE,"52.2861302,10.4498945329109",www.vti.bund.de
,4225,984884457,,V&T GROUP BV,V&T GROUP,PRC,Einsteinstraat 8,3281NJ,NUMANSDORP,NL,,www.v-tfiltergroup.com
,780,,,The Institute of Technology and Business in České Budějovice,,HES,"Okružní 517/10,",370 01 ,České Budějovice,CZ   ,,www.vstecb.cz
,7096,,,V Ships UK,,,"Gate House, 1 Farringdon Street",,,GB   ,,www.vships.com
,757,999867853,CZ60461373,VYSOKA SKOLA CHEMICKO-TECHNOLOGICKA V PRAZE,VSCHT,HES,TECHNICKA 5,166 28,PRAHA,CZ,"50.103351,14.3898299",www.vscht.cz
,4237,,,Vryhof Anchors B.V.,,PRC,Rhijnspoor 255,2901 LB ,Capelle aan den IJssel,NL   ,,www.vryhof.com/
,4067,,,"Ministry of Housing, Spatial Planning and the Environment",VROM,,Rijnstraat 8,30945,DEN HAAG,NL   ,,www.vrom.nl
,786,,,Veterinary Research Institute,VRI,,Hudcova 70,,BRNO,CZ   ,,www.vri.cz
,6059,,,Swedish Research Council,FORMAS,,Regeringsgatan 56,,STOCKHOLM,SE   ,,www.vr.se
,5837,955202457,ESB63955348,VORTEX FACTORIA DE CALCULS SL,VORTEX,PRC,CALLE MARIE CURIE 8,08042,BARCELONA,ES,"41.3881775,2.1902547625287534",www.vortex.es
,4236,969128359,NL814450696B01,VORTECH BV,VORTECH,PRC,MARTINUS NIJHOFFLAAN 2,2624 ES,DELFT,NL,"51.9973722,4.3540953",www.vortech.nl
,2263,,,M.u.H. von der Linden GmbH,,,An der Windmühle 2,D-46483,Wesel,DE   ,,www.vonderlinden.de/
,6106,999984544,SE556542432101,VOLVO TECHNOLOGY AB,VOLVO,PRC,GOTAVERKSGATAN 10,405 08,GOTEBORG,SE,"57.7084183,11.9433497",www.volvo.com
,273,,,Flanders' Chamber of Commerce and Industry,VOKA,,Koningsstraat 154-158,1000,Brussel,BE   ,,www.voka.be
,5143,,,Not available,SUME,PUB,Preradovićeva 2,21131,Petrovaradin,RS   ,,www.vojvodinasume.rs/
,2486,952727987,DE183806165,VOITH HYDRO HOLDING GMBH & CO KG,VHZ,PRC,Alexanderstrasse  11,89522,HEIDENHEIM AN DER BRENZ,DE,"48.6702207,10.1505303892827",www.voith.com
,1862,950775377,,VOIES NAVIGABLES DE FRANCE,VNF,PUB,RUE LUDOVIC BOUTLEUX 175,62408,BETHUNE,FR,,www.vnf.fr
,1853,998516255,,V.Navy,VNY,PRC,rue Victor Hugo 130-136,92300,Levallois Perret,FR,,www.v-navy.com
,410,,,Vlario VZW,VLARIO,OTH,De Schom 124,3600,Genk,BE   ,,www.vlario.be/
,286,919917349,,FONDS FLANKEREND ECONOMISCH EN INNOVATIEBELEID,Hermesfonds,PUB,BOULEVARD DU ROI ALBERT II 35,1030,BRUXELLES,BE,"50.8630246,4.35939745429298",www.vlaio.be
,5205,,,Ministry of the Environment and Spatial Planning,MOP,OTH,Gregorčičeva 20-25,Si-1000,Ljubljana,SI   ,,www.vlada.si/en/about_the_government/ministries/ministry_of_the_environment_and_spatial_planning/
,285,,,Flemish Region,VLAGEW,,,,,BE   ,,www.vlaanderen.be/en
,281,,,Flemish government,,,,,,BE   ,,www.vlaanderen.be
,344,,,nv De Scheepvaart,,,Havenstraat 44,3500,Hasselt,BE   ,,www.vlaamsewaterweg.be/
,5836,959652235,,VIZZUALITY SL,VIZZUALITY,PRC,CALLE ARROYO DE LOS COMBOS 49,28939,ARROYOMOLINOS,ES,,www.vizzuality.com
,995,986537434,,VITUSLAB V/JORGEN BENDTSEN,VITUS,PRC,FRUEBJERGVEJ - SYMBION SCIENCE PARK 3,2100 O,KOBENHAVN,DK,,www.vituslab.dk
,282,999645238,BE0244195916,VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK N.V.,VITO,REC,BOERETANG 200,2400,MOL,BE,"51.2190202,5.09349006749143",www.vito.be
